,geodi10,All Other Thefts,Simple Assault,Theft From Motor Vehicle,Quarter
0,37119000300,5.0,7.0,1.0,1.0
1,37119000300,11.0,3.0,2.0,2.0
2,37119000300,2.0,2.0,9.0,3.0
3,37119000300,7.0,1.0,7.0,4.0
4,37119000400,19.0,7.0,19.0,1.0
5,37119000400,27.0,7.0,27.0,2.0
6,37119000400,19.0,5.0,45.0,3.0
7,37119000400,18.0,9.0,41.0,4.0
8,37119000500,15.0,19.0,51.0,1.0
9,37119000500,16.0,15.0,30.0,2.0
10,37119000500,23.0,20.0,36.0,3.0
11,37119000500,19.0,16.0,36.0,4.0
12,37119000600,7.0,11.0,13.0,1.0
13,37119000600,14.0,15.0,17.0,2.0
14,37119000600,6.0,12.0,27.0,3.0
15,37119000600,6.0,12.0,18.0,4.0
16,37119000700,6.0,4.0,14.0,1.0
17,37119000700,5.0,4.0,8.0,2.0
18,37119000700,7.0,4.0,18.0,3.0
19,37119000700,4.0,4.0,6.0,4.0
20,37119000800,11.0,23.0,7.0,1.0
21,37119000800,13.0,11.0,16.0,2.0
22,37119000800,12.0,12.0,14.0,3.0
23,37119000800,10.0,14.0,11.0,4.0
24,37119000900,5.0,11.0,8.0,1.0
25,37119000900,11.0,5.0,6.0,2.0
26,37119000900,9.0,5.0,1.0,3.0
27,37119000900,9.0,4.0,1.0,4.0
28,37119001000,4.0,7.0,9.0,1.0
29,37119001000,7.0,4.0,7.0,2.0
30,37119001000,9.0,4.0,14.0,3.0
31,37119001000,2.0,7.0,6.0,4.0
32,37119001100,14.0,5.0,5.0,1.0
33,37119001100,14.0,4.0,9.0,2.0
34,37119001100,19.0,10.0,19.0,3.0
35,37119001100,11.0,10.0,6.0,4.0
36,37119001200,6.0,10.0,14.0,1.0
37,37119001200,15.0,12.0,10.0,2.0
38,37119001200,15.0,19.0,17.0,3.0
39,37119001200,12.0,19.0,8.0,4.0
40,37119001300,24.0,17.0,19.0,1.0
41,37119001300,14.0,23.0,19.0,2.0
42,37119001300,21.0,23.0,16.0,3.0
43,37119001300,18.0,19.0,16.0,4.0
44,37119001400,10.0,10.0,17.0,1.0
45,37119001400,11.0,17.0,24.0,2.0
46,37119001400,16.0,6.0,14.0,3.0
47,37119001400,16.0,6.0,20.0,4.0
48,37119001504,21.0,25.0,17.0,1.0
49,37119001504,19.0,31.0,32.0,2.0
50,37119001504,21.0,34.0,15.0,3.0
51,37119001504,14.0,22.0,19.0,4.0
52,37119001505,7.0,7.0,10.0,1.0
53,37119001505,6.0,11.0,4.0,2.0
54,37119001505,14.0,14.0,2.0,3.0
55,37119001505,10.0,11.0,3.0,4.0
56,37119001507,14.0,18.0,5.0,1.0
57,37119001507,15.0,15.0,22.0,2.0
58,37119001507,9.0,12.0,16.0,3.0
59,37119001507,5.0,14.0,8.0,4.0
60,37119001508,16.0,19.0,3.0,1.0
61,37119001508,9.0,23.0,16.0,2.0
62,37119001508,19.0,21.0,23.0,3.0
63,37119001508,14.0,22.0,19.0,4.0
64,37119001509,11.0,12.0,7.0,1.0
65,37119001509,15.0,9.0,11.0,2.0
66,37119001509,7.0,6.0,7.0,3.0
67,37119001509,11.0,7.0,12.0,4.0
68,37119001510,4.0,10.0,6.0,1.0
69,37119001510,2.0,8.0,7.0,2.0
70,37119001510,5.0,7.0,4.0,3.0
71,37119001510,5.0,2.0,9.0,4.0
72,37119001603,5.0,10.0,12.0,1.0
73,37119001603,9.0,10.0,4.0,2.0
74,37119001603,8.0,9.0,6.0,3.0
75,37119001603,10.0,4.0,16.0,4.0
76,37119001605,1.0,3.0,3.0,1.0
77,37119001605,3.0,8.0,5.0,2.0
78,37119001605,8.0,5.0,4.0,3.0
79,37119001605,2.0,2.0,4.0,4.0
80,37119001606,3.0,11.0,13.0,1.0
81,37119001606,5.0,13.0,6.0,2.0
82,37119001606,5.0,10.0,9.0,3.0
83,37119001606,8.0,12.0,4.0,4.0
84,37119001607,6.0,5.0,2.0,1.0
85,37119001607,5.0,9.0,4.0,2.0
86,37119001607,9.0,5.0,6.0,3.0
87,37119001607,9.0,9.0,5.0,4.0
88,37119001608,14.0,13.0,8.0,1.0
89,37119001608,6.0,25.0,11.0,2.0
90,37119001608,3.0,21.0,10.0,3.0
91,37119001608,10.0,10.0,10.0,4.0
92,37119001609,2.0,9.0,6.0,1.0
93,37119001609,7.0,10.0,11.0,2.0
94,37119001609,6.0,2.0,5.0,3.0
95,37119001609,7.0,6.0,16.0,4.0
96,37119001701,5.0,10.0,15.0,1.0
97,37119001701,10.0,9.0,6.0,2.0
98,37119001701,17.0,13.0,18.0,3.0
99,37119001701,8.0,13.0,9.0,4.0
100,37119001702,20.0,21.0,7.0,1.0
101,37119001702,19.0,26.0,20.0,2.0
102,37119001702,15.0,31.0,20.0,3.0
103,37119001702,14.0,18.0,17.0,4.0
104,37119001801,5.0,6.0,2.0,1.0
105,37119001801,10.0,7.0,8.0,2.0
106,37119001801,8.0,11.0,11.0,3.0
107,37119001801,9.0,9.0,10.0,4.0
108,37119001802,10.0,12.0,2.0,1.0
109,37119001802,14.0,7.0,16.0,2.0
110,37119001802,15.0,6.0,13.0,3.0
111,37119001802,10.0,10.0,9.0,4.0
112,37119001910,7.0,27.0,8.0,1.0
113,37119001910,17.0,28.0,23.0,2.0
114,37119001910,22.0,26.0,21.0,3.0
115,37119001910,21.0,22.0,13.0,4.0
116,37119001911,7.0,19.0,8.0,1.0
117,37119001911,7.0,8.0,9.0,2.0
118,37119001911,9.0,11.0,14.0,3.0
119,37119001911,7.0,8.0,10.0,4.0
120,37119001912,19.0,27.0,12.0,1.0
121,37119001912,29.0,25.0,17.0,2.0
122,37119001912,12.0,22.0,10.0,3.0
123,37119001912,18.0,28.0,18.0,4.0
124,37119001914,16.0,15.0,4.0,1.0
125,37119001914,13.0,14.0,8.0,2.0
126,37119001914,10.0,14.0,18.0,3.0
127,37119001914,12.0,17.0,13.0,4.0
128,37119001915,10.0,22.0,13.0,1.0
129,37119001915,16.0,18.0,22.0,2.0
130,37119001915,16.0,25.0,35.0,3.0
131,37119001915,11.0,28.0,31.0,4.0
132,37119001916,6.0,8.0,9.0,1.0
133,37119001916,12.0,11.0,12.0,2.0
134,37119001916,11.0,10.0,10.0,3.0
135,37119001916,13.0,7.0,7.0,4.0
136,37119001917,16.0,16.0,2.0,1.0
137,37119001917,14.0,12.0,10.0,2.0
138,37119001917,11.0,14.0,9.0,3.0
139,37119001917,14.0,11.0,5.0,4.0
140,37119001918,18.0,17.0,10.0,1.0
141,37119001918,11.0,18.0,17.0,2.0
142,37119001918,10.0,15.0,11.0,3.0
143,37119001918,16.0,15.0,15.0,4.0
144,37119001919,2.0,10.0,3.0,1.0
145,37119001919,7.0,10.0,4.0,2.0
146,37119001919,7.0,10.0,3.0,3.0
147,37119001919,12.0,6.0,5.0,4.0
148,37119001920,8.0,12.0,10.0,1.0
149,37119001920,7.0,21.0,17.0,2.0
150,37119001920,10.0,15.0,22.0,3.0
151,37119001920,13.0,9.0,13.0,4.0
152,37119001921,8.0,7.0,3.0,1.0
153,37119001921,10.0,5.0,1.0,2.0
154,37119001921,7.0,12.0,7.0,3.0
155,37119001921,3.0,7.0,2.0,4.0
156,37119001922,13.0,22.0,9.0,1.0
157,37119001922,22.0,17.0,14.0,2.0
158,37119001922,11.0,10.0,9.0,3.0
159,37119001922,14.0,11.0,10.0,4.0
160,37119001923,6.0,8.0,4.0,1.0
161,37119001923,4.0,10.0,5.0,2.0
162,37119001923,7.0,5.0,5.0,3.0
163,37119001923,6.0,13.0,7.0,4.0
164,37119002002,9.0,4.0,21.0,1.0
165,37119002002,6.0,3.0,10.0,2.0
166,37119002002,9.0,0.0,20.0,3.0
167,37119002002,8.0,3.0,25.0,4.0
168,37119002003,6.0,4.0,8.0,1.0
169,37119002003,7.0,7.0,4.0,2.0
170,37119002003,15.0,11.0,8.0,3.0
171,37119002003,3.0,5.0,12.0,4.0
172,37119002004,3.0,8.0,9.0,1.0
173,37119002004,11.0,11.0,15.0,2.0
174,37119002004,10.0,4.0,10.0,3.0
175,37119002004,9.0,6.0,9.0,4.0
176,37119002100,1.0,7.0,5.0,1.0
177,37119002100,3.0,1.0,5.0,2.0
178,37119002100,3.0,4.0,11.0,3.0
179,37119002100,1.0,6.0,7.0,4.0
180,37119002200,7.0,4.0,14.0,1.0
181,37119002200,7.0,3.0,13.0,2.0
182,37119002200,15.0,2.0,19.0,3.0
183,37119002200,12.0,4.0,18.0,4.0
184,37119002300,20.0,23.0,8.0,1.0
185,37119002300,16.0,35.0,6.0,2.0
186,37119002300,12.0,25.0,7.0,3.0
187,37119002300,7.0,27.0,5.0,4.0
188,37119002400,10.0,2.0,6.0,1.0
189,37119002400,12.0,9.0,10.0,2.0
190,37119002400,10.0,3.0,15.0,3.0
191,37119002400,4.0,0.0,7.0,4.0
192,37119002500,13.0,5.0,6.0,1.0
193,37119002500,21.0,8.0,10.0,2.0
194,37119002500,13.0,12.0,18.0,3.0
195,37119002500,13.0,16.0,17.0,4.0
196,37119002600,5.0,1.0,1.0,1.0
197,37119002600,4.0,4.0,5.0,2.0
198,37119002600,1.0,4.0,4.0,3.0
199,37119002600,4.0,3.0,6.0,4.0
200,37119002701,3.0,1.0,6.0,1.0
201,37119002701,1.0,0.0,5.0,2.0
202,37119002701,4.0,2.0,13.0,3.0
203,37119002701,3.0,1.0,4.0,4.0
204,37119002702,0.0,0.0,10.0,1.0
205,37119002702,8.0,0.0,16.0,2.0
206,37119002702,16.0,2.0,15.0,3.0
207,37119002702,11.0,4.0,7.0,4.0
208,37119002800,5.0,1.0,1.0,1.0
209,37119002800,3.0,2.0,8.0,2.0
210,37119002800,8.0,0.0,22.0,3.0
211,37119002800,6.0,0.0,13.0,4.0
212,37119002903,7.0,2.0,7.0,1.0
213,37119002903,6.0,4.0,12.0,2.0
214,37119002903,9.0,3.0,12.0,3.0
215,37119002903,7.0,0.0,17.0,4.0
216,37119002904,5.0,1.0,7.0,1.0
217,37119002904,1.0,5.0,5.0,2.0
218,37119002904,6.0,2.0,24.0,3.0
219,37119002904,7.0,7.0,7.0,4.0
220,37119002905,2.0,2.0,1.0,1.0
221,37119002905,1.0,1.0,0.0,2.0
222,37119002905,6.0,1.0,2.0,3.0
223,37119002905,3.0,1.0,4.0,4.0
224,37119002906,21.0,5.0,17.0,1.0
225,37119002906,23.0,9.0,27.0,2.0
226,37119002906,18.0,2.0,27.0,3.0
227,37119002906,24.0,7.0,45.0,4.0
228,37119003006,1.0,3.0,7.0,1.0
229,37119003006,2.0,0.0,3.0,2.0
230,37119003006,3.0,1.0,9.0,3.0
231,37119003006,3.0,3.0,5.0,4.0
232,37119003007,1.0,1.0,7.0,1.0
233,37119003007,3.0,5.0,12.0,2.0
234,37119003007,1.0,3.0,9.0,3.0
235,37119003007,4.0,3.0,7.0,4.0
236,37119003008,3.0,1.0,3.0,1.0
237,37119003008,7.0,2.0,7.0,2.0
238,37119003008,5.0,2.0,14.0,3.0
239,37119003008,12.0,2.0,7.0,4.0
240,37119003011,8.0,1.0,9.0,1.0
241,37119003011,11.0,3.0,19.0,2.0
242,37119003011,10.0,5.0,20.0,3.0
243,37119003011,11.0,5.0,19.0,4.0
244,37119003012,5.0,2.0,2.0,1.0
245,37119003012,5.0,2.0,14.0,2.0
246,37119003012,6.0,1.0,9.0,3.0
247,37119003012,5.0,3.0,4.0,4.0
248,37119003013,4.0,2.0,5.0,1.0
249,37119003013,2.0,3.0,17.0,2.0
250,37119003013,2.0,2.0,7.0,3.0
251,37119003013,3.0,1.0,7.0,4.0
252,37119003015,0.0,0.0,10.0,1.0
253,37119003015,0.0,2.0,3.0,2.0
254,37119003015,5.0,2.0,5.0,3.0
255,37119003015,3.0,3.0,2.0,4.0
256,37119003016,0.0,3.0,3.0,1.0
257,37119003016,1.0,4.0,4.0,2.0
258,37119003016,3.0,2.0,1.0,3.0
259,37119003016,1.0,0.0,6.0,4.0
260,37119003017,2.0,2.0,1.0,1.0
261,37119003017,0.0,0.0,11.0,2.0
262,37119003017,2.0,1.0,8.0,3.0
263,37119003017,1.0,0.0,2.0,4.0
264,37119003018,0.0,2.0,2.0,1.0
265,37119003018,2.0,1.0,4.0,2.0
266,37119003018,5.0,1.0,7.0,3.0
267,37119003018,1.0,0.0,0.0,4.0
268,37119003102,6.0,4.0,11.0,1.0
269,37119003102,14.0,7.0,16.0,2.0
270,37119003102,16.0,3.0,13.0,3.0
271,37119003102,13.0,8.0,25.0,4.0
272,37119003103,10.0,10.0,13.0,1.0
273,37119003103,15.0,8.0,22.0,2.0
274,37119003103,19.0,7.0,37.0,3.0
275,37119003103,14.0,11.0,35.0,4.0
276,37119003105,3.0,0.0,3.0,1.0
277,37119003105,1.0,1.0,10.0,2.0
278,37119003105,4.0,1.0,16.0,3.0
279,37119003105,5.0,2.0,2.0,4.0
280,37119003106,11.0,5.0,16.0,1.0
281,37119003106,9.0,8.0,4.0,2.0
282,37119003106,13.0,11.0,14.0,3.0
283,37119003106,9.0,5.0,5.0,4.0
284,37119003108,6.0,7.0,6.0,1.0
285,37119003108,8.0,11.0,3.0,2.0
286,37119003108,6.0,10.0,3.0,3.0
287,37119003108,8.0,9.0,4.0,4.0
288,37119003109,4.0,11.0,3.0,1.0
289,37119003109,3.0,13.0,12.0,2.0
290,37119003109,7.0,8.0,11.0,3.0
291,37119003109,11.0,16.0,12.0,4.0
292,37119003201,6.0,4.0,8.0,1.0
293,37119003201,10.0,11.0,24.0,2.0
294,37119003201,5.0,9.0,12.0,3.0
295,37119003201,5.0,6.0,17.0,4.0
296,37119003203,1.0,0.0,7.0,1.0
297,37119003203,5.0,0.0,12.0,2.0
298,37119003203,1.0,2.0,4.0,3.0
299,37119003203,6.0,1.0,8.0,4.0
300,37119003204,5.0,0.0,8.0,1.0
301,37119003204,6.0,3.0,3.0,2.0
302,37119003204,5.0,1.0,16.0,3.0
303,37119003204,6.0,1.0,12.0,4.0
304,37119003300,8.0,3.0,19.0,1.0
305,37119003300,6.0,6.0,9.0,2.0
306,37119003300,8.0,6.0,23.0,3.0
307,37119003300,12.0,8.0,13.0,4.0
308,37119003400,14.0,2.0,27.0,1.0
309,37119003400,26.0,2.0,42.0,2.0
310,37119003400,17.0,6.0,37.0,3.0
311,37119003400,6.0,6.0,43.0,4.0
312,37119003500,11.0,12.0,21.0,1.0
313,37119003500,14.0,11.0,19.0,2.0
314,37119003500,17.0,13.0,24.0,3.0
315,37119003500,17.0,11.0,24.0,4.0
316,37119003600,19.0,12.0,19.0,1.0
317,37119003600,23.0,15.0,25.0,2.0
